weight_chem_diff,goal_diff,team_1,team_2,date
-0.4471111886891255,-7,4860,482,2010-06-21
-0.1669476398254661,-5,655,454,2018-06-14
-0.6524307747812753,-4,628,481,2010-06-13
-0.5155095525679212,-4,656,477,2014-06-18
-0.26297422603320203,-4,655,457,2006-06-19
0.18192158674865816,-3,455,208,2014-06-14
0.13672435223252702,-3,467,212,2010-06-16
0.07099123705473996,-3,448,481,2010-06-27
-0.05215592680986476,-3,215,478,2014-06-15
-0.16960516513533647,-3,627,205,2006-06-22
-0.2955959884251001,-3,202,477,2018-06-21
-0.0031646646476333074,-3,203,466,2018-06-27
-0.41112295441720487,-3,4469,205,2006-06-27
-0.4128862590401052,-3,4860,4789,2010-06-25
-0.5362805697393174,-3,659,459,2018-06-23
-0.5931718569780854,-3,656,205,2014-06-23
-0.7369225096138651,-3,628,164,2014-06-23
-0.3319033702442556,-3,207,205,2010-06-28
-0.004406284977543531,-2,482,481,2006-07-08
-0.0010206922149021064,-2,628,211,2018-06-26
0.017996655267952973,-2,466,448,2018-07-07
0.15838132173776787,-2,477,478,2018-07-15
0.22032606145906639,-2,455,451,2010-06-12
0.4420545746388443,-2,471,209,2006-06-09
0.4295904478023398,-2,481,451,2018-06-27
0.4645481312501658,-2,451,624,2014-06-22
0.5309527156848962,-2,479,627,2010-06-24
-0.012976600886486238,-2,214,205,2018-06-22
0.40081030241643756,-2,212,214,2014-06-14
-0.06662691906394395,-2,203,205,2018-07-02
0.002659397646433083,-2,207,449,2014-06-23
-0.10374645258366189,-2,2620,454,2018-06-19
-0.09063870919770986,-2,468,210,2010-06-20
-0.7436764627351857,-2,2627,448,2006-06-15
-0.6354308500291772,-2,469,482,2006-06-17
-0.4635051940428901,-2,479,449,2010-06-14
-0.321493030803998,-2,450,162,2006-06-22
-0.24944501215687656,-2,212,478,2018-07-06
-0.8121543508826746,-2,214,481,2006-06-09
-0.22380328468265334,-2,659,164,2006-06-19
-0.16460184204091613,-2,164,478,2006-06-27
-0.15481412698920943,-2,469,452,2014-06-25
-0.12282954445968425,-2,481,162,2006-07-04
-0.22808098945421898,-2,6757,205,2018-06-27
0.009219935387854369,-1,215,209,2014-06-20
-0.014181248367720032,-1,202,478,2018-06-30
-0.01752833463803138,-1,659,457,2006-06-23
-0.01921079958463136,-1,4789,208,2014-06-19
-0.06624700239808154,-1,448,459,2018-06-28
-0.1388654576128216,-1,4469,482,2014-06-26
-0.1429209136224983,-1,459,202,2014-07-05
-0.14737940510997924,-1,448,477,2018-07-11
-0.19580990822161357,-1,475,202,2014-07-01
0.05062057864192824,-1,203,449,2014-06-29
-0.20224552134070833,-1,4469,660,2014-06-16
-0.06947291695139174,-1,2620,212,2018-06-15
0.057862491490810075,-1,451,212,2010-06-26
0.27003902067830504,-1,459,478,2018-07-10
0.08450180582111748,-1,451,459,2014-06-26
0.0859066859066859,-1,477,205,2006-06-13
0.162107051826678,-1,628,478,2018-06-16
0.19165822637687416,-1,660,459,2014-07-01
0.2915206063477025,-1,2659,659,2018-06-28
0.32785483564506934,-1,452,657,2014-06-21
0.4043514149106823,-1,162,214,2014-06-20
0.4142698792369173,-1,660,4469,2006-06-22
0.5283425192539329,-1,478,467,2010-06-22
0.567235494880546,-1,162,468,2010-06-24
0.7574494914882535,-1,164,475,2010-06-16
-0.2035984410863102,-1,451,466,2018-06-18
0.0678293660146123,-1,203,212,2010-06-22
-0.2193799527318226,-1,655,212,2018-06-20
-0.39417530366271164,-1,475,207,2010-06-21
-0.2331733391513036,-1,472,448,2010-06-23
-0.8727260054366767,-1,624,472,2010-06-13
-0.22992538818310143,-1,208,627,2018-06-19
-0.7465368952342017,-1,627,449,2010-06-19
-0.7112498706316625,-1,4860,205,2010-06-15
-0.6933801891374533,-1,656,449,2010-06-24
-0.6729702260950698,-1,212,449,2010-07-06
-0.5974394479377114,-1,482,164,2010-06-29
-0.5782129013020575,-1,209,448,2006-06-25
-0.5478351708852718,-1,657,202,2014-06-25
-0.5219203200533422,-1,655,164,2006-06-23
-0.4781799119312225,-1,660,481,2014-06-26
-0.46590842469367416,-1,628,162,2006-06-26
-0.45376004214408006,-1,202,481,2014-07-13
-0.8489378039416432,-1,210,164,2010-07-03
-0.4359106440701248,-1,451,203,2018-06-23
-0.44252628587666953,-1,203,482,2006-06-21
-0.2418582375478927,-1,657,202,2010-06-12
-0.24556092513292457,-1,6757,475,2018-06-22
-0.2773268558563896,-1,659,448,2018-06-18
-0.3274886505691164,-1,452,202,2014-06-15
-0.23429296717244563,-1,657,455,2010-06-17
-0.35728941968748357,-1,4789,449,2006-06-16
-0.4066559559329814,-1,214,471,2006-06-20
-0.4177109440267335,-1,478,481,2014-07-04
-0.42085967801923385,-1,203,202,2006-06-24
-0.34712362923949824,-1,656,203,2014-06-13
0.07190082644628099,0,4469,628,2010-06-19
0.1751478331308222,0,448,208,2018-07-03
0.08527295810410496,0,628,479,2018-06-21
0.09533000911479277,0,162,478,2006-07-09
0.10650552588180275,0,475,457,2006-06-26
0.11836201974059875,0,475,215,2010-06-25
0.13017883993985346,0,205,482,2010-06-25
0.13025169173847428,0,205,207,2014-06-28
0.13216215624931632,0,472,660,2010-06-18
0.14931509245814453,0,449,214,2014-07-05
0.17607633896210384,0,482,660,2014-06-22
0.37285160882283186,0,448,660,2010-06-12
0.20791504085060172,0,448,482,2006-07-01
0.2352025295230795,0,209,478,2014-06-25
0.3475380052900158,0,477,479,2018-07-01
0.35686503800493174,0,482,469,2018-06-25
0.46305966540953486,0,162,660,2006-06-17
0.46529172586097095,0,454,624,2014-06-26
0.49148305869283465,0,657,469,2014-06-16
0.515712718590695,0,477,627,2006-06-18
0.5722811671087533,0,466,2627,2006-06-10
0.7003234750462107,0,478,212,2010-06-11
0.06389872480270314,0,479,478,2018-06-26
0.19255098605524745,0,455,214,2014-06-29
0.05317919075144509,0,2666,468,2010-06-15
-0.10149234446669682,0,203,653,2006-06-16
-0.013279710116073028,0,454,451,2014-06-17
0.020648464163822527,0,214,448,2014-06-24
-0.7653359618859865,0,210,162,2010-06-14
-0.5655068332355161,0,2869,164,2018-06-25
-0.5604461025559613,0,202,481,2006-06-30
-0.5387088132869006,0,2666,162,2010-06-20
-0.5104623570863593,0,202,449,2006-06-21
-0.46767862341756267,0,4469,481,2014-06-21
-0.4499204826783401,0,482,164,2018-06-15
-0.3531887826688867,0,475,478,2006-06-13
-0.35002737515488574,0,628,477,2006-06-22
-0.34815408238200146,0,454,164,2018-07-01
-0.331074363396571,0,654,627,2018-06-24
-0.8778433170157929,0,624,448,2010-06-18
-0.27031273759440416,0,210,627,2010-06-29
-0.26661487393177485,0,210,2666,2010-06-24
-0.2586275644735996,0,203,205,2014-06-17
-0.25514685698600054,0,469,653,2006-06-21
-0.16721476510067115,0,455,627,2014-06-19
-0.14970986460348162,0,657,451,2010-06-22
-0.12597576681472916,0,482,4789,2010-06-15
-0.10341582760892068,0,202,470,2018-06-16
-0.10100508891171142,0,214,475,2018-06-27
-0.2772351993556182,0,454,477,2018-07-07
-0.06056104337089057,0,205,475,2018-06-17
0.39051381103139793,1,449,446,2006-06-11
0.3811065825470381,1,202,657,2018-06-26
0.3155928646379853,1,660,624,2010-06-23
0.3020033975748345,1,482,2869,2018-06-20
0.16865793936622267,1,478,205,2006-07-01
0.23632886159150907,1,205,208,2014-07-04
0.21005367982742187,1,482,449,2006-06-25
0.39973993363823873,1,449,205,2010-07-02
0.1575873930085593,1,481,466,2018-06-23
0.25466685380867404,1,208,654,2018-06-28
0.4065790950937465,1,479,656,2010-06-19
0.5853552320517607,1,482,653,2006-06-11
0.44115773650284085,1,481,4469,2010-06-23
0.45376333266250757,1,459,624,2014-06-17
0.5094130920514125,1,449,628,2014-06-18
0.6234861490257882,1,164,469,2018-06-20
0.660995472316227,1,202,469,2014-06-21
0.673343516730553,1,466,210,2006-06-15
0.7010225851541234,1,164,207,2010-06-25
0.7137701552825878,1,449,468,2010-06-28
0.7459695136377463,1,481,624,2014-06-30
0.15684683043182984,1,475,209,2014-06-15
0.8196999605211212,1,448,210,2006-06-10
0.4206202213040794,1,207,215,2010-06-16
0.14409099203211484,1,4789,446,2006-06-21
0.28259495892719233,1,459,627,2018-07-02
0.11656778227760155,1,459,205,2018-07-06
0.132463216807678,1,459,454,2014-06-22
-0.7150971210544571,1,6757,481,2010-06-18
-0.5722539846226172,1,654,471,2018-06-19
-0.4266879165459287,1,627,656,2010-06-14
-0.28853420562856014,1,477,470,2018-06-26
-0.2815128227268802,1,203,481,2018-06-17
-0.26087842361090896,1,4469,660,2010-06-26
-0.2311255823803473,1,162,448,2014-06-14
-0.18053448191473742,1,212,448,2014-06-19
-0.1454689431933427,1,6757,214,2018-06-17
-0.1453230511048068,1,202,4789,2006-06-10
-0.12497027034169288,1,479,211,2018-06-16
-0.2534628585437607,1,212,482,2018-06-30
-0.10793055870178546,1,655,2620,2018-06-25
-0.09247071132252217,1,466,475,2018-07-03
-0.08134651418233507,1,471,627,2018-06-28
-0.07920889501131556,1,478,482,2006-07-05
-0.0639259542365277,1,4789,627,2014-06-15
-0.054608251067417256,1,455,4789,2014-06-24
-0.0423465947403911,1,628,6757,2010-06-23
-0.03719781859619611,1,212,162,2014-06-24
-0.0355981902373655,1,478,211,2018-06-21
-0.011771516788884601,1,451,4356,2006-06-13
-0.1211234640140433,1,4469,6757,2010-06-13
0.10627265736570361,1,469,2869,2018-06-15
0.30581947743467935,2,478,657,2014-06-30
0.3262823545313239,2,205,628,2006-06-18
0.38704055033701973,2,477,657,2018-06-16
0.4066008082622362,2,628,627,2006-06-12
0.7490143369175627,2,475,4356,2006-06-19
0.5294330901345902,2,207,628,2014-06-13
0.5897769565104234,2,478,4356,2006-06-23
0.6472572287124766,2,162,4469,2006-06-12
0.7416833701089794,2,164,215,2010-06-21
0.2823965651834504,2,459,448,2018-07-14
0.5240925493525791,2,475,451,2006-06-23
0.21490601297130923,2,202,203,2010-06-27
-0.05956183533125399,2,202,455,2010-06-22
0.11753319213864408,2,205,477,2014-06-12
0.13280256705212812,2,481,466,2006-06-24
-0.6047864988724813,2,4469,450,2006-06-17
-0.3933150183150183,2,657,470,2018-06-22
-0.31438173329504726,2,207,164,2014-06-18
-0.5923774879606474,2,203,478,2010-06-17
-0.09876042370971377,2,208,212,2014-06-28
-0.08466347922030158,2,210,2627,2006-06-20
-0.01014962097226494,2,205,4789,2010-06-20
-0.004791123812725897,2,203,469,2006-06-11
-0.2213847368287031,2,203,477,2014-06-23
0.2066829900619329,3,209,214,2006-06-15
0.672308334766268,3,481,209,2006-06-20
0.5343421023222548,3,162,457,2006-06-30
0.4418554184185542,3,450,660,2006-06-12
0.301663616901678,3,459,2659,2018-06-18
0.16316220371812537,3,208,471,2018-06-24
-0.0003798670465337132,3,212,454,2018-06-25
0.07750214316330904,3,478,475,2014-06-20
0.055499698371204505,3,475,215,2014-06-25
-0.05532712976989108,3,449,205,2014-07-12
-0.502276675505166,3,208,627,2014-06-24
0.1515814944978971,3,202,451,2010-06-17
-0.4265232974910394,4,449,164,2014-06-13
0.06260342789598108,4,481,482,2014-06-16
-0.11462636805102558,5,448,2659,2018-06-24
-0.0545885035296181,6,202,446,2006-06-16
0.5240830220945897,6,481,205,2014-07-08
