id1, id2, weight
12947, 74413, 33796
12947, 28426, 27632
12947, 21931, 5032
12947, 33644, 21650
12947, 154446, 3534
12947, 11888, 38020
12947, 102198, 23584
12947, 138860, 17100
12947, 104334, 39258
12947, 72490, 13864
74413, 28426, 23442
74413, 21931, 5392
74413, 33644, 21532
74413, 154446, 4022
74413, 11888, 28320
74413, 102198, 23698
74413, 138860, 16524
74413, 104334, 32972
74413, 72490, 13900
28426, 21931, 1138
28426, 33644, 15362
28426, 154446, 772
28426, 11888, 24120
28426, 102198, 17430
28426, 138860, 9648
28426, 104334, 22876
28426, 72490, 6248
21931, 33644, 4490
21931, 154446, 2680
21931, 11888, 3294
21931, 102198, 4536
21931, 138860, 5950
21931, 104334, 4670
21931, 72490, 14164
33644, 154446, 3036
33644, 11888, 19178
33644, 102198, 19374
33644, 138860, 12168
33644, 104334, 18524
33644, 72490, 11008
154446, 11888, 2214
154446, 102198, 3200
154446, 138860, 2420
154446, 104334, 3680
154446, 72490, 2998
11888, 102198, 20510
11888, 138860, 12750
11888, 104334, 25010
11888, 72490, 10110
102198, 138860, 12522
102198, 104334, 19740
102198, 72490, 11732
138860, 104334, 12196
138860, 72490, 12146
104334, 72490, 10652
140740, 40380, 2974
140740, 45931, 2852
140740, 121021, 2740
140740, 30901, 2642
140740, 121893, 2020
140740, 17566, 2424
140740, 102251, 2446
140740, 125088, 2530
140740, 132948, 2882
140740, 45843, 3192
40380, 45931, 22632
40380, 121021, 14188
40380, 30901, 27894
40380, 121893, 25544
40380, 17566, 22800
40380, 102251, 4954
40380, 125088, 5340
40380, 132948, 10298
40380, 45843, 43870
45931, 121021, 18944
45931, 30901, 41594
45931, 121893, 44688
45931, 17566, 41388
45931, 102251, 4698
45931, 125088, 5668
45931, 132948, 10468
45931, 45843, 43844
121021, 30901, 14292
121021, 121893, 19260
121021, 17566, 17490
121021, 102251, 5492
121021, 125088, 5370
121021, 132948, 7760
121021, 45843, 16910
30901, 121893, 39754
30901, 17566, 37386
30901, 102251, 5168
30901, 125088, 5498
30901, 132948, 15644
30901, 45843, 49682
121893, 17566, 41806
121893, 102251, 4770
121893, 125088, 4846
121893, 132948, 10194
121893, 45843, 43826
17566, 102251, 3490
17566, 125088, 3852
17566, 132948, 8600
17566, 45843, 48782
102251, 125088, 4298
102251, 132948, 4960
102251, 45843, 6340
125088, 132948, 5610
125088, 45843, 6800
132948, 45843, 11862