id1,id2,weight
196876,159047,3240
196876,228402,939
196876,96254,2313
196876,170369,1386
196876,199734,84
196876,30901,2803
196876,125514,997
196876,176287,11586
196876,173666,2821
196876,218522,103
196876,161559,694
196876,234715,954
196876,199017,102
196876,269844,78
196876,252107,395
196876,132948,2663
196876,281558,258
196876,267804,34
196876,231050,333
196876,156799,760
196876,217289,2614
159047,176948,1350
159047,198983,905
159047,228402,1088
159047,96254,16610
159047,170369,2038
159047,199734,187
159047,30901,6810
159047,125514,1753
159047,176287,999
159047,173666,3218
159047,218522,174
159047,161559,1097
159047,234715,1578
159047,199017,468
159047,269844,78
159047,252107,505
159047,132948,13312
159047,281558,260
159047,267804,54
159047,231050,430
159047,156799,1806
159047,235017,14
159047,217289,3145
228402,176948,374
228402,198983,270
228402,96254,340
228402,170369,984
228402,199734,3367
228402,30901,302
228402,125514,1089
228402,176287,597
228402,173666,7561
228402,218522,152
228402,161559,649
228402,234715,1105
228402,199017,305
228402,269844,63
228402,252107,6180
228402,132948,913
228402,281558,125
228402,267804,3263
228402,231050,205
228402,156799,788
228402,217289,617
96254,176948,990
96254,198983,431
96254,170369,2203
96254,199734,111
96254,30901,7957
96254,125514,1665
96254,176287,559
96254,173666,2753
96254,218522,39
96254,161559,908
96254,234715,861
96254,199017,386
96254,269844,35
96254,252107,322
96254,132948,11099
96254,281558,218
96254,267804,39
96254,231050,422
96254,156799,1183
96254,235017,14
96254,217289,2368
170369,176948,3395
170369,198983,513
170369,199734,34
170369,30901,0
170369,125514,14327
170369,258307,59
170369,176287,532
170369,173666,7248
170369,218522,53
170369,161559,879
170369,234715,1285
170369,199017,663
170369,269844,15
170369,252107,333
170369,132948,2906
170369,281558,141
170369,267804,52
170369,231050,194
170369,156799,1177
170369,235017,14
170369,217289,3286
199734,176948,180
199734,198983,34
199734,30901,174
199734,176287,174
199734,173666,124
199734,218522,101
199734,161559,2179
199734,234715,219
199734,199017,42
199734,269844,30
199734,252107,61
199734,132948,34
199734,281558,106
199734,267804,28
199734,231050,82
199734,156799,208
199734,235017,0
199734,217289,59
30901,176948,531
30901,198983,117
30901,125514,2893
30901,176287,209
30901,173666,1961
30901,218522,662
30901,161559,332
30901,234715,359
30901,199017,14
30901,269844,88
30901,252107,173
30901,132948,15317
30901,281558,2316
30901,267804,21
30901,231050,253
30901,156799,1142
30901,217289,1829
125514,176948,800
125514,198983,422
125514,258307,59
125514,176287,484
125514,173666,4976
125514,218522,66
125514,161559,860
125514,234715,980
125514,199017,339
125514,252107,283
125514,132948,4328
125514,281558,122
125514,267804,0
125514,231050,374
125514,156799,754
125514,217289,1243
176287,176948,382
176287,198983,19
176287,173666,1208
176287,218522,129
176287,161559,456
176287,234715,676
176287,199017,140
176287,269844,49
176287,252107,254
176287,132948,593
176287,281558,173
176287,267804,42
176287,231050,303
176287,156799,347
176287,217289,530
173666,176948,1030
173666,198983,599
173666,218522,45
173666,161559,963
173666,234715,1191
173666,199017,365
173666,269844,29
173666,252107,8504
173666,132948,3753
173666,281558,128
173666,267804,3901
173666,231050,261
173666,156799,1508
173666,217289,2483
218522,176948,17
218522,198983,124
218522,161559,0
218522,234715,2808
218522,199017,8
218522,269844,88
218522,252107,54
218522,132948,70
218522,281558,554
218522,267804,21
218522,231050,9
218522,156799,634
218522,217289,31
161559,176948,488
161559,198983,149
161559,234715,808
161559,199017,162
161559,269844,15
161559,252107,301
161559,132948,1302
161559,281558,169
161559,231050,418
161559,156799,592
161559,217289,624
234715,176948,561
234715,198983,373
234715,199017,5432
234715,269844,45
234715,252107,2527
234715,132948,1224
234715,281558,212
234715,267804,0
234715,231050,464
234715,156799,867
234715,235017,14
234715,217289,656
199017,176948,272
199017,198983,277
199017,252107,2026
199017,132948,472
199017,281558,27
199017,267804,21
199017,231050,0
199017,156799,317
199017,235017,3204
199017,217289,331
269844,252107,0
269844,132948,42
269844,281558,46
269844,267804,13
269844,231050,0
269844,156799,104
269844,217289,117
252107,176948,109
252107,198983,64
252107,132948,288
252107,281558,135
252107,267804,2832
252107,231050,309
252107,156799,39
252107,217289,49
132948,176948,963
132948,198983,1158
132948,281558,149
132948,267804,31
132948,231050,305
132948,156799,1097
132948,217289,2726
281558,176948,58
281558,267804,8
281558,231050,63
281558,156799,537
281558,235017,146
281558,217289,60
267804,176948,8
267804,198983,31
267804,231050,0
267804,156799,53
267804,217289,8
231050,176948,153
231050,198983,78
231050,156799,71
231050,217289,188
156799,176948,1012
156799,198983,257
156799,235017,754
156799,217289,910
217289,176948,12271
217289,198983,666
217289,235017,0
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
176948,235017,14
