Team,Total Minutes,Dim Minutes,Average Total Minutes,Average Dim Minutes
Argentina,236684,111168,9103,4276
Australia,118407,51464,4554,1979
Belgium,386820,105448,14878,4056
Brazil,328847,117771,12648,4530
Cameroon,57048,29440,2194,1132
Canada,168529,89832,6482,3455
Costa Rica,168104,60350,6466,2321
Croatia,208285,87053,8011,3348
Denmark,254925,97754,9805,3760
Ecuador,139936,76400,5382,2938
England,344435,127588,13248,4907
France,267270,96422,10691,3857
Germany,417692,151562,16065,5829
Ghana,52391,25418,2015,978
Iran,171680,47835,6867,1913
Japan,202689,86093,7796,3311
Mexico,380302,150381,14627,5784
Morocco,92393,45044,3554,1732
Netherlands,237140,100107,9121,3850
Poland,164626,52209,6332,2008
Portugal,321200,109550,12354,4213
Qatar,303128,103468,11659,3980
Saudi Arabia,131538,63615,5059,2447
Senegal,110696,56312,4258,2166
Serbia,180288,80216,6934,3085
South Korea,175776,74249,6761,2856
Spain,239441,117359,9209,4514
Switzerland,366774,120417,14107,4631
Tunisia,172560,78871,6637,3034
Uruguay,246111,78940,9466,3036
United States,128677,60562,4949,2329
Wales,257212,101313,9893,3897