id,team
162,Italy
164,Spain
202,Argentina
203,Mexico
205,Brazil
207,Chile
208,Colombia
209,Ecuador
210,Paraguay
211,Peru
212,Uruguay
214,Costa Rica
215,Honduras
446,Serbia & Montenegro
448,England
449,Netherlands
450,Czech Republic
451,South Korea
452,Bosnia and Herzegovina
454,Russia
455,Greece
457,Ukraine
459,Belgium
466,Sweden
467,South Africa
468,Slovakia
469,IR Iran
470,Iceland
471,Poland
472,Slovenia
475,Switzerland
477,Croatia
478,France
479,Denmark
481,Germany
482,Portugal
624,Algeria
627,Japan
628,Australia
653,Angola
654,Senegal
655,Saudi Arabia
656,Cameroon
657,Nigeria
659,Tunisia
660,United States
2620,Egypt
2627,Trinidad and Tobago
2659,Panama
2666,New Zealand
2869,Morocco
4356,Togo
4469,Ghana
4789,Ivory Coast
4860,North Korea
6757,Serbia